80 8
4 2 30
2 2 50
3 5 31
4 4 34
1 2 35
5 3 39
1 4 36
4 4 48
3 3 38
5 1 34
5 5 32
6 4 47
1 5 48
1 5 50
3 4 46
3 2 41
1 1 42
1 3 43
5 2 42
6 3 38
3 1 39
2 2 40
2 2 41
5 2 34
6 2 49
4 2 30
5 3 37
5 1 32
6 2 40
5 2 38
1 2 39
2 2 40
6 2 43
2 3 35
4 4 32
2 4 45
6 4 40
1 5 34
6 3 40
3 3 33
2 5 50
3 3 49
1 3 44
4 4 37
3 3 41
6 5 40
6 2 35
5 5 46
3 5 46
3 4 34
4 5 40
2 4 46
3 5 36
2 1 38
4 5 50
1 5 31
3 3 35
6 4 50
2 2 35
2 2 49
6 3 36
2 4 45
1 2 33
5 1 43
1 5 31
2 5 43
5 2 33
4 1 42
1 3 36
1 5 49
1 5 30
2 1 33
2 3 42
1 1 35
6 3 44
3 5 34
4 3 34
2 1 46
4 4 42
2 5 35
32 39 40 42 36 30 37 50
